id,Search,Title,Location,Company,Salary,Summary,Post_Date,Link
10,Insurance,Insurance Agent - Training Provided,"Wentzville, MO",Aflac,None,None,30+ days ago,https://www.indeed.com/company/Aflac/jobs/Insurance-Agent-df3d4da7e8d1d6d9?fccid=8e5dab8caa064d1b&vjs=3
11,Insurance,Virtual Inside Sales Representative,"Salem, OR 97301",Liberty Mutual Insurance,"$50,000 - $65,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=6f781d554d2f1000&fccid=f33a9750898d12d4&vjs=3
12,Insurance,Customer Service Representative,"Bellevue, WA 98004 (Downtown area)",Symetra,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=69e1910c11d0f74d&fccid=c3123dfd9a39895a&vjs=3
13,Insurance,Administrative Assistant,Remote,Benchmark Insurance Group of Texas,$14 - $19 an hour,None,7 days ago,https://www.indeed.com/rc/clk?jk=7bb3d8becc6f46f1&fccid=481ce0da0a0c8a1c&vjs=3
14,Insurance,Virtual Inside Sales Representative,"Sacramento, CA 94203 (Alkali Flat area)",Liberty Mutual Insurance,"$50,000 - $65,000 a year",None,17 days ago,https://www.indeed.com/rc/clk?jk=240eb7aa6d7e503c&fccid=f33a9750898d12d4&vjs=3
15,Insurance,Insurance Service Specialist,"Winston-Salem, NC 27105",National General Insurance,None,None,30+ days ago,https://www.indeed.com/company/National-General-Insurance/jobs/Insurance-Service-Specialist-0104d76a72ec5f53?fccid=743fbe6811ee21a3&vjs=3
16,Insurance,Remote Claims Research Associate,"Winston-Salem, NC",CCC Information Services Inc.,$16 an hour,None,12 days ago,https://www.indeed.com/rc/clk?jk=ca63dc576eba4387&fccid=f289d19694611985&vjs=3
17,Insurance,Virtual Inside Sales Representative,"Charlotte, NC 28201 (Myers Park area)",Liberty Mutual Insurance,"$50,000 - $65,000 a year",None,17 days ago,https://www.indeed.com/rc/clk?jk=881cd97d0e13c966&fccid=f33a9750898d12d4&vjs=3
18,Insurance,Call Center Quality Specialist,"Hillsboro, OR",National General Insurance,$16.84 an hour,None,5 days ago,https://www.indeed.com/company/National-General-Insurance/jobs/Call-Center-Quality-Specialist-e056ca6116ecb072?fccid=743fbe6811ee21a3&vjs=3
19,Insurance,Remote Inside Sales Representative,"Puyallup, WA 98371",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=45f904b96aa57d57&fccid=f33a9750898d12d4&vjs=3
20,Insurance,Insurance Agent - Training Provided,"Columbia, MO 65201",Aflac,None,None,30+ days ago,https://www.indeed.com/company/Aflac/jobs/Insurance-Agent-6832732137a8e128?fccid=8e5dab8caa064d1b&vjs=3
21,Insurance,Virtual Inside Sales Representative,"Atlanta, GA 30301 (Buckhead area)",Liberty Mutual Insurance,"$50,000 - $65,000 a year",None,17 days ago,https://www.indeed.com/rc/clk?jk=0deb8e934b7c5739&fccid=f33a9750898d12d4&vjs=3
22,Insurance,Virtual Life Insurance Agent,"Metairie, LA 70113 (Central City area)",New York Life,"$80,000 - $150,000 a year",None,30+ days ago,https://www.indeed.com/company/New-York-Life/jobs/Virtual-Life-Insurance-Agent-574e1806da87b86b?fccid=f0595ebb13247329&vjs=3
23,Insurance,Insurance Service Representative,"Winston-Salem, NC 27105",National General Insurance,$14.50 an hour,None,30+ days ago,https://www.indeed.com/company/National-General-Insurance/jobs/Insurance-Service-Representative-0a3f9b2ce1c04569?fccid=743fbe6811ee21a3&vjs=3
24,Insurance,Remote Claims Research Associate,"Fayetteville, NC",CCC Information Services Inc.,$16 an hour,None,12 days ago,https://www.indeed.com/rc/clk?jk=3fccc938728c50f0&fccid=f289d19694611985&vjs=3
25,Insurance,Remote Inside Sales Representative,"Bellingham, WA 98225",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=e193a4e8c74d2ae8&fccid=f33a9750898d12d4&vjs=3
26,Insurance,Remote Claims Research Associate,"Greensboro, NC",CCC Information Services Inc.,$16 an hour,None,12 days ago,https://www.indeed.com/rc/clk?jk=4b7084f2c3ac6533&fccid=f289d19694611985&vjs=3
27,Insurance,Online Insurance Agent,"Kansas City, MO",Azulo Insurance,"$32,009 - $180,251 a year",None,19 days ago,https://www.indeed.com/company/Azulo-Financial/jobs/Online-Insurance-Agent-017370ece7fd9734?fccid=8c4e2932081ca2a2&vjs=3
28,Insurance,Policy Typist- TN (Remote Opportunity),"Maryville, TN",Westcor Land Title Insurance,None,None,3 days ago,https://www.indeed.com/rc/clk?jk=4ad1517456b6469f&fccid=1ef6412593060509&vjs=3
29,Insurance,Inside Sales Representative,"Sacramento, CA 94203 (Alkali Flat area)",Liberty Mutual Insurance,"$44,800 - $54,800 a year",None,7 days ago,https://www.indeed.com/rc/clk?jk=018630a40e3754d1&fccid=f33a9750898d12d4&vjs=3
30,Insurance,Virtual Inside Sales Representative,"Saint Paul, MN 55101",Liberty Mutual Insurance,"$50,000 - $65,000 a year",None,17 days ago,https://www.indeed.com/rc/clk?jk=a0967e89ea3c3fbd&fccid=f33a9750898d12d4&vjs=3
31,Insurance,Customer Service for Safe Life Defense,"Las Vegas, NV 89118 (Paradise area)",Safe Life Defense,$16 - $18 an hour,None,30+ days ago,https://www.indeed.com/company/Safe-Life-Defense/jobs/Customer-Service-2e9ade0cc6283498?fccid=aefe679a635c5440&vjs=3
32,Insurance,Licensed health Insurance Agent - Work from Home TN,Remote,C3/CustomerContactChannels,None,None,4 days ago,https://www.indeed.com/rc/clk?jk=67faf90b27eed586&fccid=10cc97e7ceb9429b&vjs=3
33,Insurance,Pre-License Insurance Agent,"Sandy, UT 84090",Teleperformance,$17 an hour,None,24 days ago,https://www.indeed.com/rc/clk?jk=a819033504bf86c4&fccid=02e72612c7c0d1ce&vjs=3
34,Insurance,Remote Inside Sales Representative,"Snohomish, WA",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=47153763e0ab4ca1&fccid=f33a9750898d12d4&vjs=3
35,Insurance,Remote Inside Sales Representative,"Sandy, UT 84070",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=4d024b35d1fad495&fccid=f33a9750898d12d4&vjs=3
36,Insurance,Remote Inside Sales Representative,"Seattle, WA 98101 (Downtown area)",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=c2b5711e06dff006&fccid=f33a9750898d12d4&vjs=3
37,Insurance,Virtual Inside Sales Representative,"Salt Lake City, UT 84101 (People's Freeway area)",Liberty Mutual Insurance,"$50,000 - $65,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=f52e7b9525e91837&fccid=f33a9750898d12d4&vjs=3
38,Insurance,Customer Service Representative,Remote,"Computer Programs & Systems, Inc",None,None,2 days ago,https://www.indeed.com/rc/clk?jk=a234941cd64232cc&fccid=5ae0c1d0bbfe9d3b&vjs=3
39,Insurance,Insurance and Annuity Financial Representative (Virtual/Remo...,"Plymouth, MN",Prudential,None,None,Today,https://www.indeed.com/rc/clk?jk=392d1798b55ade59&fccid=4144c0c6235e4037&vjs=3
40,Insurance,Remote Inside Sales Representative,"Oak Grove, OR",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=41ad0793fdbe9b92&fccid=f33a9750898d12d4&vjs=3
41,Insurance,Remote Inside Sales Representative,"Salem, OR 97301",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=3b9b6894f0e140e9&fccid=f33a9750898d12d4&vjs=3
42,Insurance,Inside Sales Representative,"Plano, TX 75023",Liberty Mutual Insurance,"$44,800 - $54,800 a year",None,17 days ago,https://www.indeed.com/rc/clk?jk=78061fc97bd647c0&fccid=f33a9750898d12d4&vjs=3
43,Insurance,Remote Claims Research Associate,"Harrisburg, PA",CCC Information Services Inc.,$16 an hour,None,12 days ago,https://www.indeed.com/rc/clk?jk=022f09fcbfbbd9c4&fccid=f289d19694611985&vjs=3
44,Insurance,Remote Inside Sales Representative,"Spokane, WA 99201 (West Central area)",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=f161dc44d7fcbc44&fccid=f33a9750898d12d4&vjs=3
45,Insurance,Remote Inside Sales Representative,"Cedar Hills, OR",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=72d14902eb000b01&fccid=f33a9750898d12d4&vjs=3
46,Insurance,Remote Inside Sales Representative,"Heber City, UT",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=9673a53c273b681b&fccid=f33a9750898d12d4&vjs=3
47,Insurance,Remote Inside Sales Representative,Remote,Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=d93a96befe0f5ce1&fccid=f33a9750898d12d4&vjs=3
48,Insurance,Claims Examiner I,Remote,Topa Insurance Company,None,None,4 days ago,https://www.indeed.com/rc/clk?jk=b830a08d1cffc93f&fccid=60587ac1c222882b&vjs=3
49,Insurance,Call Center Customer Service Representative,"Winston-Salem, NC 27105",National General Insurance,$14.50 an hour,None,30+ days ago,https://www.indeed.com/company/National-General-Insurance/jobs/Call-Center-Customer-Service-Representative-8c4638b4c15f07bd?fccid=743fbe6811ee21a3&vjs=3
50,Insurance,Voluntary Benefits Coordinator,Remote,Brown & Brown Insurance,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=9e005698be0b91d9&fccid=26f960259f86cb49&vjs=3
51,Insurance,Millionaire Matchmaker - Business Development - High End Lux...,Remote,LUMA - Luxury Matchmaking,"$100,000 - $250,000 a year",None,17 days ago,https://www.indeed.com/rc/clk?jk=d4e6c34eceae3e43&fccid=7992306a4ad67593&vjs=3
52,Insurance,Insurance Sales Agent (Remote),"Beaverton, OR",Coverance Insurance Solutions,"$50,000 - $100,000 a year",None,7 days ago,https://www.indeed.com/company/Coverance-Insurance-Solutions/jobs/Insurance-Sales-Agent-0dbf1df7f63495f7?fccid=adbb2471c1ccc836&vjs=3
53,Insurance,Remote Customer Service Representative,"Lexington, KY",Talent Bridge,$15 - $16 an hour,None,28 days ago,https://www.indeed.com/company/Talent-Bridge/jobs/Remote-Customer-Service-Representative-540ab82d2a48b083?fccid=842ea6b4d307430c&vjs=3
54,Insurance,Remote Claims Research Associate,"Allentown, PA",CCC Information Services Inc.,$16 an hour,None,12 days ago,https://www.indeed.com/rc/clk?jk=7a09b8190db6e2c2&fccid=f289d19694611985&vjs=3
55,Insurance,Remote Inside Sales Representative,"Houston, TX 77001",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=91640a11bfe9bd30&fccid=f33a9750898d12d4&vjs=3
56,Insurance,Remote Inside Sales Representative,"Kenmore, WA",Liberty Mutual Insurance,"$55,000 - $70,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=21090bff5c004e7d&fccid=f33a9750898d12d4&vjs=3
57,Insurance,Remote Claims Research Associate,"Johnstown, PA",CCC Information Services Inc.,$16 an hour,None,12 days ago,https://www.indeed.com/rc/clk?jk=23cc8874912720e7&fccid=f289d19694611985&vjs=3
58,Insurance,Insurance Customer Service-Account Manager,None,Kraft Insurance,"$36,000 - $45,000 a year",None,5 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeooueZAzwkq-D7tpfHhjFmrqa4razJ43ren8YUyRAiJFDcYQ_kN-3lrk9dMonrKrNXwmQomYUF20YsULmbHQbdbNQgdvRE3XBOKLy-22bvp4lrevmmJrZzmm7aukAW9Gf3PqluI1EJBRDhXEzOnU74uB-79uEnNn6b3Whqvtd2DSeCUM0onrFh0pqK818aG-4iYwFD1RdpeQGr81Nc8Gz-XerrFkf3_3VeQt3nbI0lSQJ3hdH4rzO4ejgbETnni9VvVISs3_Qr0YAJ9hIwLQQZZiWKlQdFhKTJRV91hwspngWIPmRfzfhGVw-g5d8fFR91kX0wKBISXRU4x-TVe7i6yxU7loSHo0IR9dYMqKIKqrEJZ78l71l9-VYFCWgfsMX_R83y3f2E1LpuFG5QpYhDSq5pRoODpfp-lsvO860tz9oqeH9ZCrb3xgmVksqoaALmakM74FAIxk3X57FXIeGQkSOYskFuCY=&p=0&fvj=1&vjs=3
59,Insurance,Pre-License Insurance Representative,None,Teleperformance,$18 an hour,None,23 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnOspXlqvBij5MVCjU8I6fmm3xkVRH34xL6sLJFnsf4W3h3dv-oFnx9AKRRqY7HurqsEmDSrlsiSw2yTWCUp52CVLO10aHiTmLwjcYvtdPNHcRTogx76CoiwemxBwxbdLCxfyooE6onXJYaHIZOG6FmZPiAxqHQht5fNBkc59MOQjphQ6z6DVBAWpX3LP6FMvb3xb0fYqf4e4CRI0wTBH354ErtoiMews83Px-ka2AxfQV8gZ-_PbM0fz8uwPzS5_Hl97NOWCFq9b5r1Z-nh6-Q03vYuXHDajCjcNMe6iNkUaN8aCsrKp5V0QVG9kthWlySjc4YHtk695tmfeCFcbi49k8W8VeyqzARVg0V23TtWyoO8TpM63t9hcTqTnFuwNlcuEusA3BLSocSJru2wPCfwKiQBmBLi5-e93itr-V9zuy5E_JC-nqUNiSk_o-nadk-kOmGa3dHVfmqI5L49M4zRdBolJXhpaSCW4SchfUOy9dnz4uLArH&p=1&fvj=0&vjs=3
60,Insurance,LICENSED INSURANCE ANNUITY SALES (Must Have CA License to In...,None,Sun Cities Financial Group,"$100,000 - $150,000 a year",None,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3_ZINrRvmmN9Tsy_9OglI6dzdU3_C_gyFCUoAneC1ghc7Y_zmU_IoSEvc7MWeknkYbSj-E7xH-IgYkX66RPUNtWA6uB9zrFqYv66-Hzqlg_Z_B5uBvDJmMHpyQ00bUmQoYpA34x8n_-QKDRX-7An-G8rXQYjCmEVKQNzBeaQxivqfMZqymKDnEE24XdDeh5ZunMu-6qTWlPLmkFAh_66TqWX6hNqS-7fZhQT2zoIwJdlbE_l49D0du8caS-4qoALVwGzFfJN-BTnPAkvjPmlg17icbygG2rnZpLEKZvIVGkdvDWzSqjjzRWFeFdVbIlrM1KpxxevfSn-Ho4BVJcrWPTOckkoixlSCX22lq-UeuUpkulQwOm_V_HonTGFQ7NBhiezAi8HdSe5WGLMbnnOgxtNMmuiQXZvQ6haAN4vA1ps_fLWepK_Ot8_JId40rqg-wB0uu4sAtUtH481rhc-xHAZMLGZCL6AJP08c-aue-5L3C80-Mcs6AxbtiI9mk1Y=&p=2&fvj=1&vjs=3
61,Insurance,"Life & Health Licensed Insurance Agent - $1,000 BONUS!",None,Sitel,$17 an hour,None,3 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBtZxUpP1QTOYFeIJnsNrvL2IvFQoGtsAuEWSa46ujWUsMNjC6JpPkf6HUpm6u5RhyuGAp2O2sbNlx167XKQArxHbVR1XECRChfWkYvjoFgmUnQmHh6O7pP6Ic7MpckHQAyw5hzDdyZFhxbgz2Prbqcb7sf99wTyhokrMZ5XG3M3G_pUn8Tj-Q7hB_aTxvWYtRF7YavwCXZo2szcOXdFo7bfUSEfo82xPjOMBfPu-dBZZsp-x6hV1lDJwGNTsziBOsywT_DtI_pKzdZrVBpMDSMfRTgqI25A1GMt1jxQLjqbnY8cHzRDPvwqhE1Hdo0qXHRzHbzYPN0DmXiXAdnYDtHf1Ia3k7tiIDk5q5Huv9eW-jw77nn7wvBHcOJflKvXpD3dNZF3y5vDeJGgOufc5wM9cSO13YGBWpVOog6wYqrybBY0IcnX8a4unPJGo3IKRuKD8YcpczHRtEPunYxGPeP9qIkjV94-9qblvBG--CYyRLydyfGPZg-CoAXrfghEkwfahHybRV1sasIHKhcOMfig9U30Zw3HE=&p=3&fvj=1&vjs=3
